Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,FaultBus,SampleCount,ExactBusAccuracy,GraphDistanceMAE,MajorConfusionBus,MajorConfusionCount
ieee14,RandomForest,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,6,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,9,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,11,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,14,36,0.08333333333333333,1.8333333333333333,6,33
ieee14,ExtraTrees,SpatialOnly,5,2;6;9;11;4,360,180,8,2,36,1.0,0.0,-1,0
ieee14,ExtraTrees,SpatialOnly,5,2;6;9;11;4,360,180,8,6,36,1.0,0.0,-1,0
ieee14,ExtraTrees,SpatialOnly,5,2;6;9;11;4,360,180,8,9,36,1.0,0.0,-1,0
ieee14,ExtraTrees,SpatialOnly,5,2;6;9;11;4,360,180,8,11,36,1.0,0.0,-1,0
ieee14,ExtraTrees,SpatialOnly,5,2;6;9;11;4,360,180,8,14,36,0.08333333333333333,1.8333333333333333,6,33
ieee14,RandomForest,SpatialOnly,5,2;6;9;11;4,360,180,8,2,36,1.0,0.0,-1,0
ieee14,RandomForest,SpatialOnly,5,2;6;9;11;4,360,180,8,6,36,1.0,0.0,-1,0
ieee14,RandomForest,SpatialOnly,5,2;6;9;11;4,360,180,8,9,36,1.0,0.0,-1,0
ieee14,RandomForest,SpatialOnly,5,2;6;9;11;4,360,180,8,11,36,1.0,0.0,-1,0
ieee14,RandomForest,SpatialOnly,5,2;6;9;11;4,360,180,8,14,36,0.08333333333333333,1.8333333333333333,6,33
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,2,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,6,36,0.0,2.0,2,36
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,9,36,0.0,2.0,2,36
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,11,36,0.0,3.0,2,36
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,14,36,0.0,3.0,2,36
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,2,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,6,36,0.0,2.0,2,36
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,9,36,0.0,2.5277777777777777,6,19
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,11,36,0.0,2.5,2,27
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,14,36,0.0,2.75,2,27
ieee14,ExtraTrees,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,2,36,0.9444444444444444,0.1111111111111111,6,2
ieee14,ExtraTrees,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,6,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,9,36,0.0,3.0,6,36
ieee14,ExtraTrees,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,11,36,0.1111111111111111,0.8888888888888888,6,32
ieee14,ExtraTrees,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,14,36,0.027777777777777776,1.9444444444444444,6,35
ieee14,RandomForest,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,2,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,6,36,0.0,2.0,2,36
ieee14,RandomForest,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,9,36,0.0,2.5833333333333335,6,21
ieee14,RandomForest,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,11,36,0.0,2.5,2,27
ieee14,RandomForest,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,44,14,36,0.0,2.75,2,27
ieee14,ExtraTrees,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,2,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,6,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,9,36,0.9166666666666666,0.08333333333333333,14,3
ieee14,ExtraTrees,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,11,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,14,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,2,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,6,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,9,36,1.0,0.0,-1,0
