Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,CoarseCategory,SampleCount,Accuracy
ieee14,RandomForest,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,Phase,45,0.0
ieee14,RandomForest,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,46,ThreePhase,45,1.0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,Ground,90,0.13333333333333333
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,Phase,45,0.5333333333333333
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,ThreePhase,45,1.0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,Ground,90,0.0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,Phase,45,0.0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,48,ThreePhase,45,1.0
ieee14,ExtraTrees,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,Ground,90,1.0
ieee14,ExtraTrees,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,Phase,45,0.0
ieee14,ExtraTrees,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,ThreePhase,45,0.0
ieee14,RandomForest,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,Ground,90,1.0
ieee14,RandomForest,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,Phase,45,0.0
ieee14,RandomForest,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,ThreePhase,45,0.0
ieee30,ExtraTrees,Baseline,3,6;1;2,360,180,40,Ground,90,0.07777777777777778
ieee30,ExtraTrees,Baseline,3,6;1;2,360,180,40,Phase,45,0.7777777777777778
ieee30,ExtraTrees,Baseline,3,6;1;2,360,180,40,ThreePhase,45,1.0
ieee30,RandomForest,Baseline,3,6;1;2,360,180,40,Ground,90,0.0
ieee30,RandomForest,Baseline,3,6;1;2,360,180,40,Phase,45,0.2
ieee30,RandomForest,Baseline,3,6;1;2,360,180,40,ThreePhase,45,1.0
ieee30,ExtraTrees,Baseline+NormVI,3,6;1;2,360,180,44,Ground,90,0.1111111111111111
ieee30,ExtraTrees,Baseline+NormVI,3,6;1;2,360,180,44,Phase,45,0.15555555555555556
ieee30,ExtraTrees,Baseline+NormVI,3,6;1;2,360,180,44,ThreePhase,45,1.0
ieee30,RandomForest,Baseline+NormVI,3,6;1;2,360,180,44,Ground,90,0.011111111111111112
ieee30,RandomForest,Baseline+NormVI,3,6;1;2,360,180,44,Phase,45,0.4
ieee30,RandomForest,Baseline+NormVI,3,6;1;2,360,180,44,ThreePhase,45,1.0
