Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,CaseCount,FaultCaseCount,FeatureColumnsPerWMU,FaultDetectionAccuracy,FaultDetectionPrecision,FaultDetectionRecall,FaultDetectionF1,FalsePositiveRate,FalseNegativeRate,TN,FP,FN,TP,ExactBusAccuracy,OneHopAccuracy,Top3Accuracy,GraphDistanceMAE,EventMacroF1,EventBalancedAccuracy
ieee30,ExtraTrees,SpatialOnly,5,6;1;2;3;4,1127,840,6,0.9946761313220941,0.9964285714285714,0.9964285714285714,0.9964285714285714,0.010452961672473868,0.0035714285714285713,284,3,3,837,0.9880952380952381,0.9988095238095238,1.0,0.013095238095238096,0.8503848209487599,0.8302721088435376
ieee30,RandomForest,SpatialOnly,5,6;1;2;3;4,1127,840,6,0.9946761313220941,0.9976133651551312,0.9952380952380953,0.9964243146603099,0.006968641114982578,0.004761904761904762,285,2,4,836,0.9880952380952381,0.9988095238095238,1.0,0.013095238095238096,0.8648192462958896,0.8452380952380955
ieee30,ExtraTrees,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1127,840,40,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,RandomForest,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1127,840,40,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,ExtraTrees,Baseline+NormVI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1127,840,44,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,RandomForest,Baseline+NormVI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1127,840,44,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,ExtraTrees,Baseline+NormVI+Rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1127,840,46,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,RandomForest,Baseline+NormVI+Rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1127,840,46,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,ExtraTrees,SpatialOnly,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1127,840,6,0.9955634427684117,0.998805256869773,0.9952380952380953,0.9970184853905785,0.003484320557491289,0.004761904761904762,286,1,4,836,1.0,1.0,1.0,0.0,0.8434204569782453,0.823469387755102
ieee30,RandomForest,SpatialOnly,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1127,840,6,0.9955634427684117,0.9976162097735399,0.9964285714285714,0.9970220369267421,0.006968641114982578,0.0035714285714285713,285,2,3,837,1.0,1.0,1.0,0.0,0.8205926422014269,0.8085034013605442
