CaseName,EventType,EventSubtype,TargetBus,LoadSwitchPct,FaultType,RawCsvRelativePath,FileExists,FileSizeBytes,NumRows,NumColumns
SSO_ThreePhase_Fault_Bus06,SSO_ThreePhase_Fault,ThreePhase,6,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus06.csv,True,33573810,10001,181
SSO_ThreePhase_Fault_Bus07,SSO_ThreePhase_Fault,ThreePhase,7,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus07.csv,True,34088957,10001,181
SSO_ThreePhase_Fault_Bus08,SSO_ThreePhase_Fault,ThreePhase,8,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus08.csv,True,33831429,10001,181
SSO_ThreePhase_Fault_Bus09,SSO_ThreePhase_Fault,ThreePhase,9,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus09.csv,True,34092118,10001,181
SSO_ThreePhase_Fault_Bus10,SSO_ThreePhase_Fault,ThreePhase,10,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus10.csv,True,34105442,10001,181
SSO_ThreePhase_Fault_Bus11,SSO_ThreePhase_Fault,ThreePhase,11,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus11.csv,True,33826183,10001,181
SSO_ThreePhase_Fault_Bus12,SSO_ThreePhase_Fault,ThreePhase,12,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus12.csv,True,34106606,10001,181
SSO_ThreePhase_Fault_Bus13,SSO_ThreePhase_Fault,ThreePhase,13,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus13.csv,True,33843569,10001,181
SSO_ThreePhase_Fault_Bus14,SSO_ThreePhase_Fault,ThreePhase,14,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus14.csv,True,34099390,10001,181
SSO_ThreePhase_Fault_Bus15,SSO_ThreePhase_Fault,ThreePhase,15,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus15.csv,True,34109599,10001,181
SSO_ThreePhase_Fault_Bus16,SSO_ThreePhase_Fault,ThreePhase,16,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus16.csv,True,34101607,10001,181
SSO_ThreePhase_Fault_Bus17,SSO_ThreePhase_Fault,ThreePhase,17,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus17.csv,True,34095723,10001,181
SSO_ThreePhase_Fault_Bus18,SSO_ThreePhase_Fault,ThreePhase,18,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus18.csv,True,34105110,10001,181
SSO_ThreePhase_Fault_Bus19,SSO_ThreePhase_Fault,ThreePhase,19,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus19.csv,True,34108609,10001,181
SSO_ThreePhase_Fault_Bus20,SSO_ThreePhase_Fault,ThreePhase,20,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus20.csv,True,34105775,10001,181
SSO_ThreePhase_Fault_Bus21,SSO_ThreePhase_Fault,ThreePhase,21,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus21.csv,True,34103221,10001,181
SSO_ThreePhase_Fault_Bus22,SSO_ThreePhase_Fault,ThreePhase,22,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus22.csv,True,34111506,10001,181
SSO_ThreePhase_Fault_Bus23,SSO_ThreePhase_Fault,ThreePhase,23,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus23.csv,True,34095016,10001,181
SSO_ThreePhase_Fault_Bus24,SSO_ThreePhase_Fault,ThreePhase,24,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus24.csv,True,34103053,10001,181
SSO_ThreePhase_Fault_Bus25,SSO_ThreePhase_Fault,ThreePhase,25,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus25.csv,True,34112191,10001,181
SSO_ThreePhase_Fault_Bus26,SSO_ThreePhase_Fault,ThreePhase,26,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus26.csv,True,34096634,10001,181
SSO_ThreePhase_Fault_Bus27,SSO_ThreePhase_Fault,ThreePhase,27,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus27.csv,True,34120580,10001,181
SSO_ThreePhase_Fault_Bus28,SSO_ThreePhase_Fault,ThreePhase,28,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus28.csv,True,34097251,10001,181
SSO_ThreePhase_Fault_Bus29,SSO_ThreePhase_Fault,ThreePhase,29,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus29.csv,True,34094686,10001,181
SSO_ThreePhase_Fault_Bus30,SSO_ThreePhase_Fault,ThreePhase,30,,ThreePhase,raw_waveforms/SSO_ThreePhase_Fault_Bus30.csv,True,34098279,10001,181
E1_LoadSwitch5pct_Bus02,SSO_LoadSwitch,LoadSwitch5pct,2,5,,raw_waveforms/E1_LoadSwitch5pct_Bus02.csv,True,34106274,10001,181
E1_LoadSwitch5pct_Bus03,SSO_LoadSwitch,LoadSwitch5pct,3,5,,raw_waveforms/E1_LoadSwitch5pct_Bus03.csv,True,34105981,10001,181
E1_LoadSwitch5pct_Bus04,SSO_LoadSwitch,LoadSwitch5pct,4,5,,raw_waveforms/E1_LoadSwitch5pct_Bus04.csv,True,34105855,10001,181
E1_LoadSwitch5pct_Bus05,SSO_LoadSwitch,LoadSwitch5pct,5,5,,raw_waveforms/E1_LoadSwitch5pct_Bus05.csv,True,34105543,10001,181
E1_LoadSwitch5pct_Bus07,SSO_LoadSwitch,LoadSwitch5pct,7,5,,raw_waveforms/E1_LoadSwitch5pct_Bus07.csv,True,34105827,10001,181
E1_LoadSwitch5pct_Bus08,SSO_LoadSwitch,LoadSwitch5pct,8,5,,raw_waveforms/E1_LoadSwitch5pct_Bus08.csv,True,34107037,10001,181
E1_LoadSwitch5pct_Bus10,SSO_LoadSwitch,LoadSwitch5pct,10,5,,raw_waveforms/E1_LoadSwitch5pct_Bus10.csv,True,34105899,10001,181
E1_LoadSwitch5pct_Bus12,SSO_LoadSwitch,LoadSwitch5pct,12,5,,raw_waveforms/E1_LoadSwitch5pct_Bus12.csv,True,34104753,10001,181
E1_LoadSwitch5pct_Bus14,SSO_LoadSwitch,LoadSwitch5pct,14,5,,raw_waveforms/E1_LoadSwitch5pct_Bus14.csv,True,34106461,10001,181
E1_LoadSwitch5pct_Bus15,SSO_LoadSwitch,LoadSwitch5pct,15,5,,raw_waveforms/E1_LoadSwitch5pct_Bus15.csv,True,34105209,10001,181
E1_LoadSwitch5pct_Bus16,SSO_LoadSwitch,LoadSwitch5pct,16,5,,raw_waveforms/E1_LoadSwitch5pct_Bus16.csv,True,34106145,10001,181
E1_LoadSwitch5pct_Bus17,SSO_LoadSwitch,LoadSwitch5pct,17,5,,raw_waveforms/E1_LoadSwitch5pct_Bus17.csv,True,34106347,10001,181
E1_LoadSwitch5pct_Bus18,SSO_LoadSwitch,LoadSwitch5pct,18,5,,raw_waveforms/E1_LoadSwitch5pct_Bus18.csv,True,34105025,10001,181
