WMUSet,k,NormalFP,LoadSwitchFP,SLGFN,ThreePhaseFN,TotalFP,TotalFN,FaultRecall,NonFaultSpecificity,LoadSwitchSpecificity,BinaryAccuracy,Feasible,FaultScoreMargin,BestThreshold,NonFaultMaxScore,FaultMinScore,ClassifierType,UsedFeatureSet
2|11,2,0,0,2,0,0,2,0.9666666666666667,1.0,1.0,0.9841269841269841,False,-0.058403337721827764,0.10275937945629943,0.09443973877071393,0.03603640104888617,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|12,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09559091439278,0.6603880841270077,0.8989206085875312,0.8033296941947512,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|13,2,0,0,2,0,0,2,0.9666666666666667,1.0,1.0,0.9841269841269841,False,-0.085889096566794,0.13161735453842832,0.09443973877071393,0.008550642203919934,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|14,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.11048793636419063,0.6537034503487015,0.9004380666408989,0.7899501302767082,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|15,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.08995023378147082,0.6504547348239889,0.8905485466889105,0.8005983129074397,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|16,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.13117318259925237,0.6346070761820992,0.8965774449140136,0.7654042623147612,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|17,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.10012843927222626,0.6430774601618834,0.8857990163078855,0.7856705770356592,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|18,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09824990111448628,0.6561084686261529,0.8961614980091424,0.7979115968946561,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|19,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09864981947219609,0.6582943846793406,0.8995878317930683,0.8009380123208723,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|20,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.0924144285579982,0.6557327972288229,0.8913238558824941,0.7989094273244959,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|21,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09870502347670507,0.6553773959318878,0.9006059383047895,0.8019009148280845,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|22,2,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.05957710195108731,0.15522354420995266,0.12543499323440901,0.18501209518549633,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|23,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.11483842950703527,0.6467432797041729,0.9006059383047895,0.7857675087977543,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|24,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.1009712800434106,0.6541463492379731,0.9006059383047895,0.7996346582613789,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|25,2,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.31090834342970214,0.249893910485565,0.09443973877071393,0.40534808220041607,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|26,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.10317155149201529,0.6546734993017467,0.9006059383047895,0.7974343868127742,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|27,2,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.30651419820182096,0.24769683787162441,0.09443973877071393,0.4009539369725349,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|28,2,0,0,1,0,0,1,0.9833333333333333,1.0,1.0,0.9920634920634921,False,-0.007549110912880741,0.46086767636058334,0.4137498933854325,0.40620078247255176,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|29,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09471114784481927,0.6595822054880439,0.9006059383047895,0.8058947904599703,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2|30,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09471114784481927,0.6596195360841679,0.9006059383047895,0.8058947904599703,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
3|4,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.037640647813488526,0.6882528890917199,0.8992722931961843,0.8616316453826958,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
3|5,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.19458758666101617,0.6089881039434173,0.8984148302112911,0.7038272435502749,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
3|6,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.03678415190641404,0.6875010307395105,0.8976372490488755,0.8608530971424615,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
3|7,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.09855064080922826,0.6588884587304423,0.9002643624369409,0.8017137216277126,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
3|8,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.08991811289304541,0.6605731968235768,0.9002643624369409,0.8103462495438954,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
3|9,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.046752856901041584,0.6827844130793177,0.8981727187231175,0.851419861822076,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
3|10,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.08329557938246279,0.6646341075826939,0.8984148302112911,0.8151192508288283,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
3|11,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.20148421464709965,0.5988190136528413,0.8984148302112911,0.6969306155641914,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
3|12,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.06813179102445255,0.6726953191437867,0.8985790327196825,0.83044724169523,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
3|13,2,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.21438132421539235,0.5920297269544269,0.8984148302112911,0.6840335059958987,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
