NetworkID,Model,Variant,WMUCount,SelectedWMUBuses,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE,TrainCases,TestCases
ieee30,ExtraTrees,A_voltage_only,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,0.65,0.65,1.5,442,221
ieee30,RandomForest,A_voltage_only,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,0.6555555555555556,0.6555555555555556,1.4722222222222223,442,221
ieee30,ExtraTrees,B_current_only,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,0.2,0.2,3.0,442,221
ieee30,RandomForest,B_current_only,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,0.2,0.2,3.0,442,221
ieee30,ExtraTrees,C_existing_VC,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,0.6111111111111112,0.6111111111111112,1.6944444444444444,442,221
ieee30,RandomForest,C_existing_VC,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,0.2,0.2,3.0,442,221
ieee30,ExtraTrees,D_existing_norm,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1.0,1.0,0.0,442,221
ieee30,RandomForest,D_existing_norm,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1.0,1.0,0.0,442,221
ieee30,ExtraTrees,E_existing_norm_rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1.0,1.0,0.0,442,221
ieee30,RandomForest,E_existing_norm_rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1.0,1.0,0.0,442,221
ieee30,ExtraTrees,F_existing_norm_rank_vi,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1.0,1.0,0.0,442,221
ieee30,RandomForest,F_existing_norm_rank_vi,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1.0,1.0,0.0,442,221
