NetworkID,Model,Variant,WMUCount,TrueFaultBus,Cases,ExactBusAccuracy
ieee14,RandomForest,F_existing_norm_rank_vi,3,9,36,1.0
ieee14,RandomForest,F_existing_norm_rank_vi,3,11,36,1.0
ieee14,RandomForest,F_existing_norm_rank_vi,3,14,36,1.0
ieee14,RandomForest,F_existing_norm_rank_vi,5,2,36,1.0
ieee14,RandomForest,F_existing_norm_rank_vi,5,6,36,1.0
ieee14,RandomForest,F_existing_norm_rank_vi,5,9,36,0.8888888888888888
ieee14,RandomForest,F_existing_norm_rank_vi,5,11,36,1.0
ieee14,RandomForest,F_existing_norm_rank_vi,5,14,36,1.0
ieee14,RandomForest,F_existing_norm_rank_vi,14,2,36,1.0
ieee14,RandomForest,F_existing_norm_rank_vi,14,6,36,0.9722222222222222
ieee14,RandomForest,F_existing_norm_rank_vi,14,9,36,1.0
ieee14,RandomForest,F_existing_norm_rank_vi,14,11,36,1.0
ieee14,RandomForest,F_existing_norm_rank_vi,14,14,36,1.0
ieee30,ExtraTrees,A_voltage_only,3,1,36,0.75
ieee30,ExtraTrees,A_voltage_only,3,6,36,0.75
ieee30,ExtraTrees,A_voltage_only,3,10,36,0.75
ieee30,ExtraTrees,A_voltage_only,3,24,36,0.75
ieee30,ExtraTrees,A_voltage_only,3,30,36,1.0
ieee30,ExtraTrees,A_voltage_only,5,1,36,1.0
ieee30,ExtraTrees,A_voltage_only,5,6,36,0.75
ieee30,ExtraTrees,A_voltage_only,5,10,36,0.75
ieee30,ExtraTrees,A_voltage_only,5,24,36,0.75
ieee30,ExtraTrees,A_voltage_only,5,30,36,0.5555555555555556
ieee30,ExtraTrees,A_voltage_only,30,1,36,1.0
ieee30,ExtraTrees,A_voltage_only,30,6,36,0.75
ieee30,ExtraTrees,A_voltage_only,30,10,36,0.75
ieee30,ExtraTrees,A_voltage_only,30,24,36,0.75
ieee30,ExtraTrees,A_voltage_only,30,30,36,0.0
ieee30,ExtraTrees,B_current_only,3,1,36,0.25
ieee30,ExtraTrees,B_current_only,3,6,36,0.0
ieee30,ExtraTrees,B_current_only,3,10,36,0.0
ieee30,ExtraTrees,B_current_only,3,24,36,0.0
ieee30,ExtraTrees,B_current_only,3,30,36,1.0
ieee30,ExtraTrees,B_current_only,5,1,36,1.0
ieee30,ExtraTrees,B_current_only,5,6,36,0.0
ieee30,ExtraTrees,B_current_only,5,10,36,0.0
ieee30,ExtraTrees,B_current_only,5,24,36,0.0
ieee30,ExtraTrees,B_current_only,5,30,36,0.0
ieee30,ExtraTrees,B_current_only,30,1,36,1.0
ieee30,ExtraTrees,B_current_only,30,6,36,0.0
ieee30,ExtraTrees,B_current_only,30,10,36,0.0
ieee30,ExtraTrees,B_current_only,30,24,36,0.0
ieee30,ExtraTrees,B_current_only,30,30,36,0.0
ieee30,ExtraTrees,Baseline,3,1,36,0.7777777777777778
ieee30,ExtraTrees,Baseline,3,6,36,0.75
ieee30,ExtraTrees,Baseline,3,10,36,0.75
ieee30,ExtraTrees,Baseline,3,24,36,0.75
ieee30,ExtraTrees,Baseline,3,30,36,1.0
ieee30,ExtraTrees,Baseline,5,1,36,1.0
ieee30,ExtraTrees,Baseline,5,6,36,0.75
ieee30,ExtraTrees,Baseline,5,10,36,0.75
ieee30,ExtraTrees,Baseline,5,24,36,0.6666666666666666
ieee30,ExtraTrees,Baseline,5,30,36,0.0
ieee30,ExtraTrees,Baseline,30,1,36,1.0
ieee30,ExtraTrees,Baseline,30,6,36,0.75
ieee30,ExtraTrees,Baseline,30,10,36,0.75
ieee30,ExtraTrees,Baseline,30,24,36,0.75
ieee30,ExtraTrees,Baseline,30,30,36,0.0
ieee30,ExtraTrees,C_existing_VC,3,1,36,0.75
ieee30,ExtraTrees,C_existing_VC,3,6,36,0.75
ieee30,ExtraTrees,C_existing_VC,3,10,36,0.75
ieee30,ExtraTrees,C_existing_VC,3,24,36,0.75
ieee30,ExtraTrees,C_existing_VC,3,30,36,1.0
ieee30,ExtraTrees,C_existing_VC,5,1,36,1.0
ieee30,ExtraTrees,C_existing_VC,5,6,36,0.75
ieee30,ExtraTrees,C_existing_VC,5,10,36,0.75
ieee30,ExtraTrees,C_existing_VC,5,24,36,0.2777777777777778
ieee30,ExtraTrees,C_existing_VC,5,30,36,0.0
ieee30,ExtraTrees,C_existing_VC,30,1,36,1.0
ieee30,ExtraTrees,C_existing_VC,30,6,36,0.75
ieee30,ExtraTrees,C_existing_VC,30,10,36,0.75
ieee30,ExtraTrees,C_existing_VC,30,24,36,0.5555555555555556
ieee30,ExtraTrees,C_existing_VC,30,30,36,0.0
ieee30,ExtraTrees,D_existing_norm,3,1,36,1.0
ieee30,ExtraTrees,D_existing_norm,3,6,36,1.0
ieee30,ExtraTrees,D_existing_norm,3,10,36,1.0
ieee30,ExtraTrees,D_existing_norm,3,24,36,0.75
ieee30,ExtraTrees,D_existing_norm,3,30,36,1.0
ieee30,ExtraTrees,D_existing_norm,5,1,36,1.0
ieee30,ExtraTrees,D_existing_norm,5,6,36,1.0
ieee30,ExtraTrees,D_existing_norm,5,10,36,1.0
ieee30,ExtraTrees,D_existing_norm,5,24,36,1.0
