NetworkID,Model,Variant,WMUCount,SelectedWMUBuses,TestResistanceOhm,TrainCases,TestCases,FaultTestCases,FeatureColumnsPerWMU,Accuracy,Precision,Recall,F1,FalsePositiveRate,FalseNegativeRate,TN,FP,FN,TP,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE,CoarseCategoryMacroF1,FaultType4ClassMacroF1
ieee30,RandomForest,E_existing_norm_rank,3,1;10;6,10.0,442,221,180,50,0.7963800904977375,1.0,0.75,0.8571428571428571,0.0,0.25,41,0,45,135,0.9555555555555556,0.9555555555555556,0.13333333333333333,0.13333333333333333,0.1
ieee30,ExtraTrees,F_existing_norm_rank_vi,3,1;10;6,10.0,442,221,180,52,0.9864253393665159,1.0,0.9833333333333333,0.9915966386554622,0.0,0.016666666666666666,41,0,3,177,0.95,0.95,0.15,0.5518207282913165,0.30264604810996565
ieee30,RandomForest,F_existing_norm_rank_vi,3,1;10;6,10.0,442,221,180,52,0.7963800904977375,1.0,0.75,0.8571428571428571,0.0,0.25,41,0,45,135,0.95,0.95,0.16111111111111112,0.13333333333333333,0.1
ieee30,ExtraTrees,Baseline,5,1;10;6;24;30,10.0,442,221,180,40,0.9909502262443439,1.0,0.9888888888888889,0.994413407821229,0.0,0.011111111111111112,41,0,2,178,0.6333333333333333,0.6333333333333333,1.5833333333333333,0.49442749385541146,0.30599401988735137
ieee30,RandomForest,Baseline,5,1;10;6;24;30,10.0,442,221,180,40,0.6968325791855203,1.0,0.6277777777777778,0.7713310580204779,0.0,0.37222222222222223,41,0,67,113,0.2,0.2,3.0,0.14842132505175984,0.1
ieee30,ExtraTrees,A_voltage_only,5,1;10;6;24;30,10.0,442,221,180,18,1.0,1.0,1.0,1.0,0.0,0.0,41,0,0,180,0.7611111111111111,0.7611111111111111,0.9444444444444444,0.4708141321044547,0.1875
ieee30,RandomForest,A_voltage_only,5,1;10;6;24;30,10.0,442,221,180,18,0.8416289592760181,1.0,0.8055555555555556,0.8923076923076924,0.0,0.19444444444444445,41,0,35,145,0.6555555555555556,0.6555555555555556,1.4722222222222223,0.13333333333333333,0.1
ieee30,ExtraTrees,B_current_only,5,1;10;6;24;30,10.0,442,221,180,18,0.8054298642533937,1.0,0.7611111111111111,0.8643533123028391,0.0,0.2388888888888889,41,0,43,137,0.2,0.2,3.0,0.3254380733293573,0.3333333333333333
ieee30,RandomForest,B_current_only,5,1;10;6;24;30,10.0,442,221,180,18,0.7963800904977375,1.0,0.75,0.8571428571428571,0.0,0.25,41,0,45,135,0.2,0.2,3.0,0.13333333333333333,0.1
ieee30,ExtraTrees,C_existing_VC,5,1;10;6;24;30,10.0,442,221,180,36,1.0,1.0,1.0,1.0,0.0,0.0,41,0,0,180,0.5555555555555556,0.5555555555555556,1.9722222222222223,0.5,0.26938502673796794
ieee30,RandomForest,C_existing_VC,5,1;10;6;24;30,10.0,442,221,180,36,0.746606334841629,1.0,0.6888888888888889,0.8157894736842105,0.0,0.3111111111111111,41,0,56,124,0.2,0.2,3.0,0.13333333333333333,0.1
ieee30,ExtraTrees,D_existing_norm,5,1;10;6;24;30,10.0,442,221,180,46,0.9230769230769231,1.0,0.9055555555555556,0.9504373177842566,0.0,0.09444444444444444,41,0,17,163,1.0,1.0,0.0,0.35521885521885527,0.26411421155094095
ieee30,RandomForest,D_existing_norm,5,1;10;6;24;30,10.0,442,221,180,46,0.7963800904977375,1.0,0.75,0.8571428571428571,0.0,0.25,41,0,45,135,0.9888888888888889,0.9888888888888889,0.05555555555555555,0.13333333333333333,0.1
